URI_Name;Provincia;Canton;Parroquia;Nombre;Direccion;Tipo;Regimen Escolar;Modalidad;Jornada Laboral;DocentesFemenino;DocentesMasculino;TotalDocentes;TotalAdministrativos;EstudiantesFemenino;EstudiantesMasculino;Total_Alumnos
COLEGIODEBACHILLERATOZAPOTILLO;Loja;ZAPOTILLO;ZAPOTILLO;COLEGIO DE BACHILLERATO ZAPOTILLO;CALLE PALETILLAS  9 DE OCTUBRE ;FiscalHighSchool;Costa;Presencial;Matutina;10;8;18;4;133;129;262
COLEGIONACIONALNOCTURNOCATAMAYO;Loja;CATAMAYO;CATAMAYO;COLEGIO NACIONAL NOCTURNO CATAMAYO;18 DE AGOSTO 04-55 ENTRE OLMEDO Y EUGENIO ESPEJO BARRIO EL PORVENIR ;FiscalHighSchool;Sierra;Presencial;Nocturno;11;15;26;2;220;276;496
ESCUELADEEDUCACIONBASICACABOCASTILLO;Loja;ESPINDOLA;BELLAVISTA;ESCUELA DE EDUCACION BASICA CABO CASTILLO;   BARRIO JIBIRUCHE;FiscalHighSchool;Costa;Presencial;Matutina;7;7;14;0;92;120;212
COLEGIODEBACHILLERATOFRONTERASUR;Loja;PALTAS;CANGONAMA;COLEGIO DE BACHILLERATO FRONTERA SUR;   A 50 METROS DEL PARQUE;FiscalHighSchool;Costa;Presencial;Matutina;2;7;9;2;32;34;66
ESCUELADEEDUCACIONBASICAGENERALMOISESOLIVA;Loja;CALVAS;UTUANA;ESCUELA DE EDUCACION BASICA GENERAL MOISES OLIVA;   PARROQUIA UTUANA;FiscalHighSchool;Costa;Presencial;Matutina;12;5;17;4;89;107;196
ESCUELADEEDUCACIÓNBÁSICALAURODAMERVALAYORAN1;Loja;LOJA;SANSEBASTIAN;ESCUELA DE EDUCACIÓN BÁSICA LAURO DAMERVAL AYORA N 1;AVENIDA BENJAMIN CARRION 21197 PABLO PALACIO ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;41;15;56;2;510;687;1197
COLEGIODEBACHILLERATOMANUELJOSEJARAMILLO;Loja;PALTAS;CASANGA;COLEGIO DE BACHILLERATO MANUEL  JOSE  JARAMILLO;   CENTRO PARROQUIA CASANGA - TRAS LA IGLESIA;FiscalHighSchool;Costa;Presencial;Matutina;4;5;9;4;58;49;107
COLEGIODEBACHILLERATOMACANDAMINE;Loja;PALTAS;CASANGA;COLEGIO DE BACHILLERATO MACANDAMINE;   BARRIO MACANDAMINE;FiscalHighSchool;Costa;Presencial;Matutina;5;3;8;3;38;32;70
INSTITUTOTECNOLOGICOSUPERIORCARIAMANGA;Loja;CALVAS;CARIAMANGA;INSTITUTO TECNOLOGICO SUPERIOR CARIAMANGA;JOSE ANGEL PALACIOS  GONZALEZ SUARES Y  MIGUEL PERALTA ;FiscalHighSchool;Costa;Presencial;Matutina;25;25;50;9;189;211;400
JOSEMARIAVELAZSJEXTENSIONN2CATAMAYO;Loja;CATAMAYO;CATAMAYO;JOSE MARIA VELAZ SJ EXTENSION N2 CATAMAYO;NUEVE DE OCTUBRE 00 BOLIVAR Y EUGENIO ESPEJO ;LaicHighSchool;Sierra;Distancia;Matutina,Vespertina;7;5;12;5;42;39;81
RAMONSAMANIEGOPALACIOS;Loja;PUYANGO;ELARENAL;RAMON SAMANIEGO PALACIOS;   VIA PRINCIPAL DE EL ARENAL;FiscalHighSchool;Costa;Presencial;Matutina;5;5;10;3;64;64;128
UNIDADEDUCATIVAFISCOMISIONALDOMINGOCELI;Loja;PALTAS;CATACOCHA;UNIDAD EDUCATIVA FISCOMISIONAL DOMINGO CELI;DOMINGO CELI 7302 PALTAS E INDEPENDENCIA ;FiscomitionalHighSchool;Costa;Presencial;Matutina;34;8;42;3;479;373;852
TECNICOPUYANGO;Loja;PUYANGO;ALAMOR;TECNICO PUYANGO;GABRIEL CAIZA  SUCRE ;FiscalHighSchool;Costa;Presencial;Matutina;12;19;31;6;169;189;358
U E ELOYALFARO;Loja;CALVAS;SANVICENTE;U  E  ELOY ALFARO;   BARRIO SAN VICENTE;FiscalHighSchool;Costa;Presencial;Matutina,Nocturno;39;36;75;13;412;543;955
UNIDADEDUCATIVAPEDROVICENTEMALDONADO;Loja;SARAGURO;ELPARAISODECELEN;UNIDAD EDUCATIVA PEDRO VICENTE MALDONADO;   CENTRO CELEN  VAUDILIO ARIAS Y VEINTE Y CUATRO  DE MAYO;FiscalHighSchool;Sierra;Presencial;Matutina;12;8;20;0;170;175;345
UNIDADEDUCATIUVANAMBACOLA;Loja;GONZANAMA;NAMBACOLA;UNIDAD EDUCATIUVA NAMBACOLA;   A DOSCIENTOS METROS DEL PARQUE CENTRAL;FiscalHighSchool;Costa;Presencial;Matutina;6;15;21;6;121;138;259
UNIDADEDUCATIVACORAZONDEMARIA;Loja;LOJA;ELCISNE;UNIDAD EDUCATIVA  CORAZON DE MARIA;   JUNTO AL CAMPO MARIANO;FiscomitionalHighSchool;Sierra;Presencial;Matutina;12;6;18;2;90;99;189
UNIDADEDUCATIVAFISCOMISIONALJULIOERNESTOCELI;Loja;ESPINDOLA;JIMBURA;UNIDAD EDUCATIVA  FISCOMISIONAL JULIO ERNESTO CELI;   CALLE 24 DE ABRIL Y AVENIDA AMALUZA;FiscomitionalHighSchool;Costa;Presencial;Matutina;10;8;18;5;145;142;287
UNIDADEDUCATIVAMARIAAUXILIADORA;Loja;CALVAS;CARIAMANGA;UNIDAD EDUCATIVA  MARIA AUXILIADORA;   BARRIO  CENTRAL;FiscomitionalHighSchool;Costa;Presencial;Matutina;26;8;34;3;501;153;654
UNIDADEDUCATIVABERNARDOVALDIVIESO;Loja;LOJA;SANSEBASTIAN;UNIDAD EDUCATIVA BERNARDO VALDIVIESO;AV  EDUARDO KINGMAN 00 PABLO NERUDA Y CATAMAYO ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina,Nocturno;91;75;166;31;1 257;2239;3496
UNIDADEDUCATIVABRASIL;Loja;ZAPOTILLO;ZAPOTILLO;UNIDAD EDUCATIVA BRASIL;   BARRIO CEIBA CHICA;FiscalHighSchool;Costa;Presencial;Matutina;8;7;15;4;112;115;227
COLEGIODEBACHILLERATO29DEMAYO;Loja;PALTAS;GUACHANAMA;COLEGIO DE BACHILLERATO 29 DE MAYO;   PARROQUIA GUACHANAMA BARRIO CENTRAL;FiscalHighSchool;Costa;Presencial;Matutina;6;3;9;4;14;44;58
UNIDADEDUCATIVACOMUNITARIAINTERCULTURALBILINGUERUMInAHUI;Loja;LOJA;SANLUCAS;UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGUE RUMIÑAHUI;   BARRIO PICHIG;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;11;6;17;1;101;102;203
UNIDADEDUCATIVACOTOPAXI;Loja;ESPINDOLA;SANTATERESITA;UNIDAD EDUCATIVA COTOPAXI;   VIA AMALUZA CARIAMANGA BARRIO CANGOCHARA;FiscalHighSchool;Costa;Presencial;Matutina;6;10;16;0;88;89;177
UNIDADEDUCATIVADELMILENIO5DEJUNIO;Loja;MACARA;MACARA(MANUELENRIQUERENGELSUQUILANDA);UNIDAD EDUCATIVA DEL MILENIO  5 DE JUNIO;AURIA MARIA ARIAS  MAXIMO ARTURO ROMAN Y ZOILA HERRERA ;FiscalHighSchool;Costa;Presencial;Matutina;18;4;22;2;188;208;396
UNIDADEDUCATIVADRMANUELAGUSTINCABRERALOZANO;Loja;LOJA;SANSEBASTIAN;UNIDAD EDUCATIVA DR MANUEL AGUSTIN CABRERA LOZANO;CALLE PABLO PALACIOS  BARRIO SANTA TERESITA   SE UTILIZA LA INSTALACIONES DEL COLEGIO DE BACHILLERATO   VEINTE Y SIETE  DE ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;24;18;42;4;381;495;876
UNIDADEDUCATIVAEXPERIMENTALPARACIEGOSLUISBRAILLE;Loja;LOJA;SANSEBASTIAN;UNIDAD EDUCATIVA EXPERIMENTAL PARA CIEGOS LUIS BRAILLE;BUGANVILLAS 2427 AVENIDA GOBERNACION DE MAINAS ;FiscalHighSchool;Sierra;Presencial;Nocturno;4;6;10;5;14;19;33
COLEGIODEBACHILLERATOTCNELLAUROGUERRERO;Loja;PALTAS;LAUROGUERRERO;COLEGIO DE BACHILLERATO TCNEL LAURO GUERRERO;   BARRIO EL CASTILLO;FiscalHighSchool;Costa;Presencial;Matutina;4;6;10;5;49;66;115
ESCUELADEEDUCACIONBASICALATACUNGA;Loja;SARAGURO;LLUZHAPA;ESCUELA DE EDUCACION BASICA LATACUNGA;   PARROQUIA  LLUZHAPA;FiscalHighSchool;Costa;Presencial;Matutina;9;5;14;0;86;116;202
COLEGIODEBACHILLERATOSEGUNDOCUEVACELI;Loja;PALTAS;LOURDES;COLEGIO DE BACHILLERATO SEGUNDO CUEVA CELI;   BARRIO SAN VICENTE DEL RIO;FiscalHighSchool;Costa;Presencial;Matutina;2;4;6;3;22;27;49
UNIDADEDUCATIVAFISCOMISIONALLADOLOROSA;Loja;LOJA;ELSAGRARIO;UNIDAD EDUCATIVA FISCOMISIONAL LA DOLOROSA;JOSE ANTONIO EGUIGUREN 11-92 OLMEDO ;ReligiousHighSchool;Sierra;Presencial;Matutina,Vespertina,Nocturno;42;65;107;12;178;1801;1979
UNIDADEDUCATIVAFISCOMISIONALLAINMACULADA;Loja;LOJA;ELSAGRARIO;UNIDAD EDUCATIVA FISCOMISIONAL LA INMACULADA;BOLIVAR 09-35 ROCAFUERTE Y MIGUEL RIOFRIO ;FiscomitionalHighSchool;Sierra;Presencial;Matutina;58;15;73;15;1 332;92;1424
UNIDADEDUCATIVAFISCOMISIONALMARISTA;Loja;MACARA;MACARA(MANUELENRIQUERENGELSUQUILANDA);UNIDAD EDUCATIVA FISCOMISIONAL MARISTA;AVENIDA PANAMERICANA 07-03 AVENIDA MARISTA ;FiscomitionalHighSchool;Costa;Presencial;Matutina;33;29;62;12;506;554;106
UNIDADEDUCATIVAFISCOMISIONALMONSALBERTOZAMBRANOPALACIOS;Loja;OLMEDO;OLMEDO;UNIDAD EDUCATIVA FISCOMISIONAL MONS  ALBERTO ZAMBRANO PALACIOS;MONS JORGE GUILLERMO ARMIJOS SN SUCRE ;FiscomitionalHighSchool;Costa;Presencial;Matutina;20;18;38;3;312;326;638
UNIDADEDUCATIVAFISCOMISIONALPARAPCEIHNOANGELPASTRANACORRAL;Loja;LOJA;VALLE;UNIDAD EDUCATIVA FISCOMISIONAL PARA PCEI HNO ANGEL PASTRANA CORRAL;JUAN DE SALINAS 03-61 JOSE FELIX DE VALDIVIESO Y QUITO ;FiscomitionalHighSchool;Sierra;Semipresencial;Matutina;34;11;45;3;366;370;736
UNIDADEDUCATIVAFISCOMISIONALMARISTADECATACOCHA;Loja;PALTAS;LOURDES;UNIDAD EDUCATIVA FISCOMISIONAL MARISTA DE CATACOCHA;CALLE LOURDES 2 CALLE SUCRE ;FiscomitionalHighSchool;Costa;Presencial;Matutina;27;23;50;10;446;494;940
UNIDADEDUCATIVAPALTAS;Loja;PALTAS;LOURDES;UNIDAD EDUCATIVA PALTAS;VENTURA   ENCALADA Y  VIA PANAMERICANA ;FiscalHighSchool;Costa;Presencial;Matutino,Nocturno;32;17;49;8;377;413;790
ESCUELADEEDUCACIONBASICAELVIABÉLGICAJIMÉNEZDEGONZÁLEZ;Loja;LOJA;MALACATOS(VALLADOLID);ESCUELA DE EDUCACION BASICA ELVIA BÉLGICA JIMÉNEZ DE GONZÁLEZ;   BARRIO RUMIZHITANA;FiscalHighSchool;Sierra;Presencial;Matutina;13;5;18;3;122;140;262
UNIDADEDUCATIVAMANUELJOSÉRODRIGUEZ;Loja;LOJA;MALACATOS(VALLADOLID);UNIDAD EDUCATIVA MANUEL JOSÉ  RODRIGUEZ;   BARRIO LA TRINIDAD;FiscomitionalHighSchool;Sierra;Presencial;Matutina;22;12;34;1;372;379;751
COLEGIODEBACHILLERATOMANÚ;Loja;SARAGURO;MANU;COLEGIO DE BACHILLERATO MANÚ;   PACAIPAMBA VIA LOJA SN;FiscalHighSchool;Costa;Presencial;Matutina;5;8;13;5;119;110;229
COLEGIODEBACHILLERATOORIANGA;Loja;PALTAS;ORIANGA;COLEGIO DE BACHILLERATO ORIANGA;   BARRIO PUEBLO NUEVO PARROQUIA ORIANGA  A 80M DEL SUBCENTRO DE SALUD;FiscalHighSchool;Costa;Presencial;Matutina;7;4;11;2;69;100;169
COLEGIODEBACHILLERATODRCARLOSMANUELESPINOZA;Loja;PALTAS;SANANTONIO;COLEGIO DE BACHILLERATO  DR CARLOS MANUEL ESPINOZA;   CENTRO DE  LA PARROQUIA  DE SAN ANTONIO;FiscalHighSchool;Costa;Presencial;Matutina;6;2;8;2;43;46;89
UNIDADEDUCATIVACOMUNITARIAINTERCULTURALBILINGUEABC;Loja;SARAGURO;SANPABLODETENTA;UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGUE ABC;   PARROQUIA TENTA BARRIO MEMBRILLO;FiscalHighSchool;Sierra;Presencial;Matutina;8;16;24;2;227;229;456
UNIDADEDUCATIVACOMUNITARIAINTERCULTURALBILINGUETUPAKYUPANKI;Loja;SARAGURO;SARAGURO;UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGUE TUPAK YUPANKI;   COMUNIDAD  OÑACAPAC;FiscalHighSchool;Sierra;Presencial;Matutino,Nocturno;12;6;18;0;110;128;238
UECOMUNITARIAINTERCULTURALBILINGUEINKASAMANA;Loja;SARAGURO;SARAGURO;UE COMUNITARIA INTERCULTURAL BILINGUE INKA SAMANA;   COMUNIDAD ILINCHO AYLLU LLAKTA;FiscalHighSchool;Sierra;Presencial;Matutina;9;5;14;2;43;54;97
COLEGIODEBACHILLERATOSARAGURO;Loja;SARAGURO;SARAGURO;COLEGIO DE BACHILLERATO SARAGURO;10 DE MARZO  PANAMERICANA ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina,Nocturno;26;28;54;9;475;444;919
COLEGIODEBACHILLERATOnUKANCHIKKAWSAYPARAPCEI;Loja;SARAGURO;SARAGURO;COLEGIO DE BACHILLERATO ÑUKANCHIK KAWSAY PARA PCEI;   COMUNIDAD DE TUNCARTA A DIEZ MINUTOS DE LA VIA A CUENCA;FiscalHighSchool;Sierra;Distancia;Matutina;3;1;4;0;57;43;100
UNIDADEDUCATIVAFISCOMISIONALSANJUANBAUTISTA;Loja;CATAMAYO;CATAMAYO;UNIDAD EDUCATIVA FISCOMISIONAL SAN JUAN BAUTISTA;ALFREDO BAQUERIZO  DIEGO DE NOBOA ;FiscomitionalHighSchool;Sierra;Presencial;Matutina;19;6;25;3;211;277;488
UNIDADEDUCATIVAFISCOMISIONALSANTAJUANADEARCOLASALLE;Loja;CALVAS;CARIAMANGA;UNIDAD EDUCATIVA FISCOMISIONAL SANTA JUANA DE ARCO LA SALLE;VELASCO IBARRA 00 AV LOJA ;FiscomitionalHighSchool;Costa;Presencial;Matutina;30;16;46;4;346;419;765
UNIDADEDUCATIVAFRANCISCODEORELLANA;Loja;ZAPOTILLO;LIMONES;UNIDAD EDUCATIVA FRANCISCO DE ORELLANA;   PARROQUIA LIMONES;FiscalHighSchool;Costa;Presencial;Matutina;10;2;12;0;78;67;145
UNIDADEDUCATIVAGONZANAMA;Loja;GONZANAMA;GONZANAMA;UNIDAD EDUCATIVA GONZANAMA;AVENIDA 30 DE SEPTIEMBRE  24 DE MAYO ;FiscalHighSchool;Costa;Presencial;Matutina,Nocturno;28;13;41;9;205;216;421
UNIDADEDUCATIVAGREGORIOMARAnON;Loja;ZAPOTILLO;BOLASPAMBA;UNIDAD EDUCATIVA GREGORIO MARAÑON;   BARRIO BOLASPAMBA FRENTE AL DISPENSARIO DEL SSC;FiscalHighSchool;Costa;Presencial;Matutina;3;5;8;0;56;45;101
UNIDADEDUCATIVAJOSÉMARÍARIOFRÍO;Loja;ESPINDOLA;BELLAVISTA;UNIDAD EDUCATIVA JOSÉ MARÍA RIOFRÍO;   BARRIO REINA DEL CISNE CALLE SAN FRANCISCO VÍA A LLAMACHANCHI;FiscalHighSchool;Costa;Presencial;Matutina;8;5;13;1;68;96;164
UNIDADEDUCATIVALADOLOROSA;Loja;CHAGUARPAMBA;CHAGUARPAMBA;UNIDAD EDUCATIVA LA DOLOROSA;   VIA YAGUACHI BARRIO ROJAS A OCHO CUADRAS DE LA IGLESIA MATRIZ;FiscomitionalHighSchool;Costa;Presencial;Matutina;20;9;29;0;213;165;378
UNIDADEDUCATIVALAPORCIUNCULA;Loja;LOJA;ELSAGRARIO;UNIDAD EDUCATIVA LA PORCIUNCULA;CALLE BOLIVAR 0639 COLON Y JOSE ANTONIO EGUIGUREN ;ReligiousHighSchool;Sierra;Presencial;Matutina;42;5;47;12;829;159;988
UNIDADEDUCATIVAMANUELIGNACIOMONTEROVALDIVIESO;Loja;LOJA;SUCRE;UNIDAD EDUCATIVA MANUEL IGNACIO MONTERO VALDIVIESO;   AVENIDA  VILLONACO OBRA PIA;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina,Nocturno;18;8;26;3;184;226;410
UNIDADEDUCATIVAFISCOMISIONALSANJOSEDECALASANZ;Loja;SARAGURO;SARAGURO;UNIDAD EDUCATIVA FISCOMISIONAL SAN JOSE DE CALASANZ;   BARRIO APUGUIN;FiscomitionalHighSchool;Sierra;Presencial;Matutina;33;39;72;13;585;548;1133
UNIDADEDUCATIVAMONSLUISALFONSOCRESPO;Loja;ESPINDOLA;AMALUZA;UNIDAD EDUCATIVA MONS LUIS ALFONSO CRESPO;AVENIDA ZUMBA SN VIA  A CONSAPAMBA ;FiscomitionalHighSchool;Costa;Presencial;Matutina;25;23;48;4;331;342;673
UNIDADEDUCATIVAMONSEnORSANTIAGOFERNANDEZGARCÍA;Loja;CALVAS;COLAISACA;UNIDAD EDUCATIVA MONSEÑOR SANTIAGO FERNANDEZ GARCÍA;   BARRIO CENTRAL VELAZCO IBARRA Y 18 DE NOVIEMBRE;FiscomitionalHighSchool;Costa;Presencial;Matutina,Nocturno;68;55;123;15;968;1117;2085
UNIDADEDUCATIVAMUSHUKRIMAK;Loja;LOJA;SANLUCAS;UNIDAD EDUCATIVA MUSHUK RIMAK;   CABECERA PARROQUIAL;FiscalHighSchool;Sierra;Presencial;Matutina;11;14;25;2;209;157;366
UNIDADEDUCATIVAFISCOMISIONALFRAYCRISTÓBALZAMBRANO;Loja;SARAGURO;SARAGURO;UNIDAD EDUCATIVA FISCOMISIONAL FRAY CRISTÓBAL ZAMBRANO;LOJA  CRISTOBAL ZAMBRANO ;FiscomitionalHighSchool;Sierra;Presencial;Matutina;13;10;23;1;171;189;360
COLEGIODEBACHILLERATOVICENTEBASTIDASREINOSO;Loja;SARAGURO;SELVAALEGRE;COLEGIO DE BACHILLERATO VICENTE BASTIDAS REINOSO;   BARRIO VALLE HERMOSO;FiscalHighSchool;Costa;Presencial;Matutina;5;7;12;3;96;98;194
ESCUELADEEDUCACIÓNBÁSICAORILLASDELJUBONES;Loja;SARAGURO;SUMAYPAMBA;ESCUELA DE EDUCACIÓN BÁSICA ORILLAS DEL JUBONES;   BARRIO SUMAYPAMBA;FiscalHighSchool;Costa;Presencial;Matutina,Vespertina;9;4;13;0;91;89;180
COLEGIOPROFESORVIRGILIOABARCAMONTESINOS;Loja;SARAGURO;URDANETA(PAQUISHAPA);COLEGIO PROFESOR VIRGILIO ABARCA MONTESINOS;   PARROQUIA URDANETA;FiscalHighSchool;Sierra;Presencial;Matutina;9;13;22;3;167;207;374
ESCUELADEEDUCACIONBASICAMARIETADEVEINTIMILLA;Loja;LOJA;VALLE;ESCUELA DE EDUCACION BASICA MARIETA DE VEINTIMILLA;AV  CHUQUIRIBAMBA 00 AV  INTEGRACION BARRIAL Y  LAGUNA DE YAMBO ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;33;19;52;4;495;615;111
I E ESPECIALDELOJANO 2;Loja;LOJA;VALLE;I E  ESPECIAL DE LOJA NO  2;AGUSTIN PALACIOS 1 TRAS DEL ASILO DE ANCIANO DANIEL ALVAREZ SANCHEZ ;FiscomitionalHighSchool;Sierra;Presencial;Matutina;11;3;14;1;17;40;57
SERVICIOECUATORIANODECAPACITACIÓNPROFESIONALSECAP;Loja;LOJA;VALLE;SERVICIO ECUATORIANO DE CAPACITACIÓN PROFESIONAL SECAP;GRANADA LOJA AV ISIDRO AYORA ;FiscalHighSchool;Sierra;Presencial;Matutina;1;1;2;16;;13;13
UNIDADEDUCFISCOMISIONALPARAPCEIJOSEMARIAVELAZEXT1LOJA;Loja;LOJA;VALLE;UNIDAD EDUC FISCOMISIONAL PARA PCEI JOSE MARIA VELAZ EXT 1 LOJA;ESMERALDAS  GUAYAQUIL Y MANTA ;FiscomitionalHighSchool;Sierra;Semipresencial;Vespertina;6;3;9;2;92;92;184
UNIDADEDUCATIVACOMILN5LAUROGUERRERO;Loja;LOJA;VALLE;UNIDAD EDUCATIVA COMIL N 5 LAURO GUERRERO;SALVADOR BUSTAMANTE CELI  ninguna ;FiscalHighSchool;Sierra;Presencial;Matutina;43;19;62;20;473;866;1339
UNIDADEDUCATIVAFERNANDOSUAREZPALACIO;Loja;LOJA;VALLE;UNIDAD EDUCATIVA FERNANDO SUAREZ PALACIO;AVENIDA PABLO PALACIO 1 SIN NOMBRE ;FiscalHighSchool;Sierra;Presencial;Matutina;16;5;21;2;185;172;357
UNIDADEDUCATIVAFISCOMISIONALPARAPCIHERMANOANGELPASTRANA;Loja;LOJA;VALLE;UNIDAD EDUCATIVA FISCOMISIONAL  PARA PCI HERMANO ANGEL PASTRANA;BERNARDO VALDIVIESO 0361 QUITO Y JOSE FELIX DE VALDIVIESO ;FiscomitionalHighSchool;Costa;Distancia;Matutina;44;21;65;1;514;584;1098
UNIDADEDUCATIVAFISCOMISIONALCALASANZ;Loja;LOJA;VALLE;UNIDAD EDUCATIVA FISCOMISIONAL CALASANZ;AVENIDA ORILLAS DEL ZAMORA  ISIDRO AYORA ;FiscomitionalHighSchool;Sierra;Presencial;Matutina,Nocturno;59;29;88;24;1 079;121;2289
COLEGIODEBACHILLERATOFRANCISCOVALDIVIESOALVARADO;Loja;PALTAS;YAMANA;COLEGIO DE BACHILLERATO FRANCISCO VALDIVIESO ALVARADO;   AV 20  DE JULIO;FiscalHighSchool;Costa;Presencial;Matutina;4;4;8;3;34;39;73
UNIDADEDUCATIVAPARTICULARATENEO;Loja;LOJA;ELSAGRARIO;UNIDAD EDUCATIVA PARTICULAR ATENEO;CALLE SUCRE 05-43 COLÓN E IMBABAURA ;LaicHighSchool;Sierra;Presencial;Matutina;23;2;25;6;134;173;307
UNIDADEDUCATIVAPARTICULARJOSEANTONIOEGUIGURENLASALLE;Loja;LOJA;ELSAGRARIO;UNIDAD EDUCATIVA PARTICULAR JOSE ANTONIO EGUIGUREN  LA SALLE;AVENIDA ORILLAS DEL ZAMORA 3 ROCAFUERTE ;ReligiousHighSchool;Sierra;Presencial;Matutina;28;17;45;19;314;610;924
UNIDADEDUCATIVAPARTICULARJUANMONTALVO;Loja;LOJA;SANSEBASTIAN;UNIDAD EDUCATIVA PARTICULAR JUAN MONTALVO;AV  EMILIANO ORTEGA 1375 LOURDES ;LaicHighSchool;Sierra;Presencial;Matutina;14;4;18;8;75;92;167
UNIDADEDUCATIVASANFRANCISCODEASIS;Loja;LOJA;ELSAGRARIO;UNIDAD EDUCATIVA SAN FRANCISCO DE ASIS;IMBABURA 13-46 BOLIVAR  Y BERNARDO VALDIVIESO ;FiscomitionalHighSchool;Sierra;Presencial;Matutina;44;18;62;8;612;795;1407
UNIDADEDUCATIVASANVICENTEDEPAÚL;Loja;GONZANAMA;CHANGAIMINA(LALIBERTAD);UNIDAD EDUCATIVA SAN VICENTE DE PAÚL;   A UNA CUADRA DEL SANTUARIO REINA DE LA CARIDAD;FiscomitionalHighSchool;Costa;Presencial;Matutina;14;12;26;6;218;216;434
UNIDADEDUCATIVASANGUILLIN;Loja;CALVAS;SANGUILLIN;UNIDAD EDUCATIVA SANGUILLIN;   CENTRO PARROQUIAL SANGUILLIN FRENTE AL PARQUE CENTRAL;FiscalHighSchool;Costa;Presencial;Matutina;8;8;16;4;112;100;212
UNIDADEDUCATIVASANTAMARIANADEJESUS;Loja;LOJA;ELSAGRARIO;UNIDAD EDUCATIVA SANTA MARIANA DE JESUS;OLMEDO 0960 ROCAFUERTE Y MIGUEL RIOFRIO ;ReligiousHighSchool;Sierra;Presencial;Matutina;43;13;56;22;1199;88;1287
UNIDADEDUCATIVASANTAMARIANADEJESUS;Loja;MACARA;MACARA(MANUELENRIQUERENGELSUQUILANDA);UNIDAD EDUCATIVA SANTA MARIANA DE JESUS;JUVENAL JARAMILLO 69-15 ALAMOR ;FiscomitionalHighSchool;Costa;Presencial;Matutina;28;9;37;3;493;354;847
UNIDADEDUCATIVASANTATERESITA;Loja;CELICA;CELICA;UNIDAD EDUCATIVA SANTA TERESITA;GARCIA MORENO  PRESBITERO RIOFRIO ;FiscomitionalHighSchool;Costa;Presencial;Matutina;36;11;47;4;354;384;738
UNIDADEDUCATIVATIOPAMBA;Loja;ESPINDOLA;AMALUZA;UNIDAD EDUCATIVA TIOPAMBA;   VIA AMALUZA A CARIAMANGA KM 8 BARRIO  TIOPAMBA;FiscalHighSchool;Costa;Presencial;Matutina;9;7;16;3;79;63;142
